Task ID,Priority Level,Task Description,Category,Status,Notes
D,1,Clean submitEvent() and make Add/Edit bulletproof,Core Stability,Finished,
B,2,Clean search + filter logic (unify search pipeline),Core Stability,Finished,
A,3,Clean up createCollapsibleCard(),UI Core Component,Finished,
F,4,Show full Post-Event data in dashboard when finalized=1,Data Flow,Not Finished,
E,5,Pull Employee labor data from Square (hours, rate),Integrations,Not Started,
J,6,Add link in Event Summary for Itemized Drink Sales v1.0,Reporting,Not Started,
C,7,Clean template / dynamic form builder,Architecture,Not Started,
H,8,Support multi-day events cleanly (reporting + UI),Architecture,Not Started,
I,9,Multi-squareLocationId support for multi-day events,Architecture,Not Started,
G,10,Clear Search button for Manage Search page,UI Polish,Not Started,
K,11,Supply cost analysis report,Reporting,Not Started,
L,12,Inventory restock order form,Reporting / Inventory,Not Started,
M,13,Send Google Calendar invite when event created,Integrations,Not Started,
